trip_id,duration,,
190518640,94,,
190494792,23,,
190494793,9,,
190494794,5,,
190494795,11,,
190494790,8,,
190494791,26,,
190518629,54,,
190494786,16,,
190494787,39,,
190494788,16,,
190494789,14,,
190494783,16,,
190494784,30,,
190494785,38,,
190494782,28,,
190518619,39,,
190518620,45,,
190494779,11,,
190494780,23,,
190494781,11,,
190518615,57,,
190494776,16,,
190494777,8,,
190494778,13,,
190518609,56,,
190518611,38,,
190518612,81,,
190518614,56,,
190494774,17,,
190494775,12,,
190518606,55,,
190518602,58,,
190518603,63,,
190518604,74,,
190518600,73,,
190518601,53,,
190494769,12,,
190494771,9,,
190494772,17,,
190494773,12,,
190665645,404,,
190494764,16,,
190494765,15,,
190494766,16,,
190494767,8,,
190494768,8,,
190494763,28,,
190494760,21,,
190494761,4,,
190494762,27,,
190494754,15,,
190494755,22,,
190494757,13,,
190494758,1,,
190494759,9,,
190494749,16,,
190494750,8,,
190494751,4,,
190494752,9,,
190494753,11,,
190518575,34,,
190494743,15,,
190494744,16,,
190494745,15,,
190494746,16,,
190494747,24,,
190494748,3,,
190494741,12,,
190494742,16,,
190518563,40,,
190518565,61,,
190518566,41,,
190518567,31,,
190494734,7,,
190494735,7,,
190494736,9,,
190494737,15,,
190494738,19,,
190494739,15,,
190494740,22,,
190494733,13,,
190518554,59,,
190542648,108,,
190494730,8,,
190494731,11,,
190494732,14,,
190542643,116,,
190494728,6,,
190494729,8,,
190542640,115,,
190494724,12,,
190494725,8,,
190494726,5,,
190494727,7,,
190518542,44,,
190518544,73,,
190542638,106,,
190494717,14,,
190494718,4,,
190494720,10,,
190494722,4,,
190518540,43,,
190494714,10,,
190494715,9,,
190494716,13,,
190518530,54,,
190494713,9,,
190494711,16,,
190494712,12,,
190518526,37,,
190518527,32,,
190494707,15,,
190494708,12,,
190494709,10,,
190494710,12,,
190518524,41,,
190494703,8,,
190494704,10,,
190494705,10,,
190494706,14,,
190518514,14,,
190518515,21,,
190542605,85,,
190494700,8,,
190494701,6,,
190494702,4,,
190518511,23,,
190518512,30,,
190542599,84,,
190494699,7,,
190518506,56,,
190518507,69,,
190518508,22,,
190542593,94,,
190518503,67,,
190518504,37,,
192122192,1440,,
190494698,5,,
190518501,28,,
190518502,67,,
190494695,8,,
190494696,5,,
190494697,6,,
190518495,10,,
190518498,28,,
190518493,8,,
190518494,53,,
190518492,14,,
190518486,33,,
190518487,7,,
190518488,7,,
190518489,28,,
190518490,18,,
190518491,9,,
190518484,16,,
190518485,26,,
190518480,53,,
190518481,58,,
190518482,12,,
190518483,58,,
190518474,23,,
190518475,11,,
190518476,7,,
190518477,4,,
190518478,13,,
190518479,11,,
190518472,58,,
190518473,3,,
190518466,58,,
190518467,29,,
190518468,9,,
190518471,7,,
190518457,6,,
190518458,14,,
190518459,6,,
190518460,14,,
190518461,11,,
190518465,44,,
190542543,79,,
190542547,79,,
190518452,16,,
190518453,25,,
190518454,19,,
190518450,7,,
190518451,2,,
190518447,7,,
